f / Hz,Re(V) / V,Im(V) / V
1.26E+00,1.33263029114649e+00,-2.72226181114849e+00
1.27E+00,1.30237468292129e+00,-2.72186023158959e+00
1.27E+00,1.27235881097866e+00,-2.72085431148898e+00
1.28E+00,1.24259831859073e+00,-2.71925870662392e+00
1.28E+00,1.21310799334005e+00,-2.71708846353864e+00
1.29E+00,1.18390176568463e+00,-2.71435896820211e+00
1.29E+00,1.15499271063138e+00,-2.71108589591638e+00
1.30E+00,1.12639305233492e+00,-2.70728516265177e+00
1.30E+00,1.09811417143230e+00,-2.70297287796471e+00
1.31E+00,1.07016661491830e+00,-2.69816529963324e+00
1.31E+00,1.04256010836334e+00,-2.69287879012576e+00
1.32E+00,1.01530357027439e+00,-2.68712977499844e+00
1.32E+00,9.88405128399895e-01,-2.68093470329859e+00
1.33E+00,9.61872137781458e-01,-2.67431001003311e+00
1.33E+00,9.35711200358628e-01,-2.66727208074419e+00
1.34E+00,9.09928185937435e-01,-2.65983721821886e+00
1.34E+00,8.84528254339365e-01,-2.65202161134370e+00
1.35E+00,8.59515878553744e-01,-2.64384130610284e+00
1.35E+00,8.34894868724165e-01,-2.63531217870463e+00
1.36E+00,8.10668396807520e-01,-2.62644991081102e+00
1.36E+00,7.86839021752802e-01,-2.61726996683364e+00
1.36E+00,7.63408715055781e-01,-2.60778757325152e+00
1.37E+00,7.40378886554880e-01,-2.59801769989756e+00
1.37E+00,7.17750410342893e-01,-2.58797504315368e+00
1.38E+00,6.95523650678704e-01,-2.57767401098955e+00
1.38E+00,6.73698487792386e-01,-2.56712870977407e+00
1.39E+00,6.52274343486555e-01,-2.55635293278579e+00
1.39E+00,6.31250206445700e-01,-2.54536015034471e+00
1.40E+00,6.10624657174295e-01,-2.53416350148629e+00
1.40E+00,5.90395892492883e-01,-2.52277578709665e+00
1.41E+00,5.70561749529694e-01,-2.51120946442731e+00
1.41E+00,5.51119729153107e-01,-2.49947664290770e+00
1.42E+00,5.32067018797876e-01,-2.48758908117390e+00
1.42E+00,5.13400514644974e-01,-2.47555818523314e+00
1.43E+00,4.95116843121681e-01,-2.46339500768460e+00
1.43E+00,4.77212381694650e-01,-2.45111024791905e+00
1.44E+00,4.59683278934585e-01,-2.43871425322168e+00
1.44E+00,4.42525473836405e-01,-2.42621702070466e+00
1.45E+00,4.25734714383772e-01,-2.41362819999868e+00
