in s,C1 in V,C2 in V
-4.384320E+00,-2.63672E-01,-2.54395E+00
-4.383360E+00,-2.63672E-01,-2.56348E+00
-4.382400E+00,-2.44141E-01,-2.54395E+00
-4.381440E+00,-2.63672E-01,-2.54395E+00
-4.380480E+00,-1.85547E-01,-2.51465E+00
-4.379520E+00,-2.63672E-01,-2.51465E+00
-4.378560E+00,-1.66016E-01,-2.50488E+00
-4.377600E+00,-1.85547E-01,-2.49512E+00
-4.376640E+00,-1.66016E-01,-2.48535E+00
-4.375680E+00,-1.66016E-01,-2.47559E+00
-4.374720E+00,-1.46484E-01,-2.45605E+00
-4.373760E+00,-1.85547E-01,-2.44629E+00
-4.372800E+00,-8.78906E-02,-2.44629E+00
-4.371840E+00,-8.78906E-02,-2.43652E+00
-4.370880E+00,-6.83594E-02,-2.44629E+00
-4.369920E+00,-4.88281E-02,-2.42676E+00
-4.368960E+00,-4.88281E-02,-2.38770E+00
-4.368000E+00,-1.26953E-01,-2.39746E+00
-4.367040E+00,-2.92969E-02,-2.36816E+00
-4.366080E+00,-9.76562E-03,-2.34863E+00
-4.365120E+00,6.83594E-02,-2.37793E+00
-4.364160E+00,2.92969E-02,-2.34863E+00
-4.363200E+00,2.92969E-02,-2.33887E+00
-4.362240E+00,4.88281E-02,-2.27051E+00
-4.361280E+00,6.83594E-02,-2.28027E+00
-4.360320E+00,1.26953E-01,-2.27051E+00
-4.359360E+00,6.83594E-02,-2.27051E+00
-4.358400E+00,8.78906E-02,-2.29980E+00
-4.357440E+00,8.78906E-02,-2.23145E+00
-4.356480E+00,1.26953E-01,-2.23145E+00
-4.355520E+00,2.05078E-01,-2.22168E+00
-4.354560E+00,1.85547E-01,-2.23145E+00
-4.353600E+00,2.05078E-01,-2.18262E+00
-4.352640E+00,1.66016E-01,-2.20215E+00
-4.351680E+00,2.24609E-01,-2.20215E+00
-4.350720E+00,2.44141E-01,-2.18262E+00
-4.349760E+00,3.02734E-01,-2.13379E+00
-4.348800E+00,2.44141E-01,-2.14355E+00
-4.347840E+00,2.83203E-01,-2.15332E+00
-4.346880E+00,3.02734E-01,-2.15332E+00
-4.345920E+00,3.41797E-01,-2.09473E+00
-4.344960E+00,2.83203E-01,-2.12402E+00
-4.344000E+00,3.80859E-01,-2.08496E+00
-4.343040E+00,3.22266E-01,-2.04590E+00
-4.342080E+00,3.41797E-01,-2.07520E+00
-4.341120E+00,3.61328E-01,-2.03613E+00
-4.340160E+00,3.80859E-01,-2.04590E+00
-4.339200E+00,3.80859E-01,-1.99707E+00
-4.338240E+00,4.00391E-01,-1.98730E+00
-4.337280E+00,4.00391E-01,-1.96777E+00
-4.336320E+00,4.19922E-01,-1.97754E+00
-4.335360E+00,4.58984E-01,-1.94824E+00
-4.334400E+00,4.78516E-01,-1.94824E+00
-4.333440E+00,4.78516E-01,-1.90918E+00
-4.332480E+00,4.98047E-01,-1.90918E+00
-4.331520E+00,5.17578E-01,-1.89941E+00
-4.330560E+00,5.37109E-01,-1.89941E+00
