time	V(y)	V(recti)
4.021159349268775e+00	1.508582e+00	9.567926e-04
4.025503175980276e+00	1.445891e+00	5.914499e-04
4.029800403727954e+00	1.383742e+00	3.669889e-04
4.034147861408513e+00	1.320802e+00	2.265267e-04
4.038444035093104e+00	1.258607e+00	1.405442e-04
4.042777087562948e+00	1.195946e+00	8.689490e-05
4.047079205338189e+00	1.133862e+00	5.388860e-05
4.051409595367323e+00	1.071562e+00	3.332551e-05
4.055716106722473e+00	1.009858e+00	2.065712e-05
4.060043396035876e+00	9.481653e-01	1.277783e-05
4.064351120578600e+00	8.871174e-01	7.919391e-06
4.072984100384263e+00	7.660879e-01	3.036070e-06
4.082163627653689e+00	6.397767e-01	1.115612e-06
4.087594329819927e+00	5.664437e-01	6.250217e-07
4.094660040705708e+00	4.727892e-01	2.977429e-07
4.103478735729784e+00	3.590589e-01	1.181862e-07
4.116022238674899e+00	2.043489e-01	3.189103e-08
4.134885862841688e+00	-1.531451e-02	3.645055e-10
4.147666666100001e+00	-1.561575e-01	3.739290e-11
4.150666666099999e+00	-1.871035e-01	-3.752954e-09
4.160666666100004e+00	-2.860334e-01	-1.377581e-09
4.166666666100001e+00	-3.422631e-01	-2.996330e-09
4.167666666100001e+00	-3.514192e-01	2.825841e-06
4.167766666100000e+00	-3.523290e-01	9.452279e-07
4.167966666100000e+00	-3.541470e-01	-2.965804e-09
4.168666666100000e+00	-3.604926e-01	-1.825822e-08
4.177300951814279e+00	-4.344640e-01	-8.961870e-09
4.185935237528557e+00	-5.035477e-01	-2.017971e-09
4.194569523242836e+00	-5.677438e-01	2.573480e-09
4.203203808957116e+00	-6.270522e-01	4.812483e-09
4.211838094671394e+00	-6.814729e-01	4.699037e-09
4.220472380385673e+00	-7.310059e-01	2.233143e-09
4.229106666099952e+00	-7.756513e-01	-2.585199e-09
4.249106666099951e+00	-8.603922e-01	-2.242183e-09
4.269106666099951e+00	-9.188160e-01	-1.803335e-09
4.289106666099951e+00	-9.522305e-01	-1.278618e-09
4.309106666099950e+00	-9.623445e-01	2.530489e-10
4.329106666099950e+00	-9.533198e-01	1.495126e-06
4.339842741778252e+00	-9.409024e-01	5.103882e-05
4.345368346002399e+00	-9.319650e-01	3.628639e-04
4.348343119008495e+00	-9.264559e-01	1.353754e-03
4.350255123813177e+00	-9.226665e-01	3.568215e-03
4.351622282918546e+00	-9.198310e-01	7.691789e-03
4.353064593704133e+00	-9.167128e-01	1.639740e-02
4.354516954654988e+00	-9.133949e-01	3.115544e-02
4.356949298673209e+00	-9.073745e-01	6.537282e-02
4.360249438943928e+00	-8.983763e-01	1.190837e-01
4.363302330955181e+00	-8.889087e-01	1.715715e-01
4.369035487415005e+00	-8.675714e-01	2.726684e-01
4.380501800334654e+00	-8.126776e-01	4.784478e-01
4.400501800334654e+00	-6.869797e-01	8.386219e-01
4.420501800334653e+00	-5.251368e-01	1.191622e+00
4.440501800334653e+00	-3.254589e-01	1.527982e+00
4.460501800334653e+00	-9.220502e-02	1.839099e+00
4.480501800334652e+00	1.691175e-01	2.117382e+00
4.500501800334652e+00	4.519426e-01	2.356178e+00
