time	V(y)	V(triangle)
2.650623342200120e-02	-2.245810e-02	1.020249e-01
2.658215332650826e-02	-2.260205e-02	1.023286e-01
2.665716551616626e-02	-2.274418e-02	1.026287e-01
2.675605233370604e-02	-2.293137e-02	1.030242e-01
2.683287761598407e-02	-2.307654e-02	1.033315e-01
2.690891075281954e-02	-2.321993e-02	1.036356e-01
2.699371813070073e-02	-2.337962e-02	1.039749e-01
2.706707651580587e-02	-2.351764e-02	1.042683e-01
2.713943679032127e-02	-2.365371e-02	1.045577e-01
2.722568992417251e-02	-2.381575e-02	1.049028e-01
2.729938733622106e-02	-2.395399e-02	1.051975e-01
2.737227885040383e-02	-2.409044e-02	1.054891e-01
2.746919120425773e-02	-2.427156e-02	1.058768e-01
2.754573994292286e-02	-2.441449e-02	1.061830e-01
2.762155179744141e-02	-2.455594e-02	1.064862e-01
2.772137235207950e-02	-2.474200e-02	1.068855e-01
2.779862680504053e-02	-2.488575e-02	1.071945e-01
2.787506857284328e-02	-2.502768e-02	1.075003e-01
2.795870386310995e-02	-2.518274e-02	1.078348e-01
2.803196748212144e-02	-2.531846e-02	1.081279e-01
2.810420950062920e-02	-2.545222e-02	1.084168e-01
2.818909651284685e-02	-2.560924e-02	1.087564e-01
2.826258146663818e-02	-2.574494e-02	1.090503e-01
2.833525046621688e-02	-2.587887e-02	1.093410e-01
2.843348004940793e-02	-2.605960e-02	1.097339e-01
2.851049498086766e-02	-2.620117e-02	1.100420e-01
2.858679922482210e-02	-2.634133e-02	1.103472e-01
2.867559848647261e-02	-2.650429e-02	1.107024e-01
2.875035824926186e-02	-2.664125e-02	1.110014e-01
2.882409285465215e-02	-2.677605e-02	1.112964e-01
2.891185198321011e-02	-2.693624e-02	1.116474e-01
2.898630005165970e-02	-2.707200e-02	1.119452e-01
2.905985646761167e-02	-2.720606e-02	1.122394e-01
2.915966412883009e-02	-2.738777e-02	1.126387e-01
2.923717363308143e-02	-2.752863e-02	1.129487e-01
2.931395273477122e-02	-2.766786e-02	1.132558e-01
2.940017303298248e-02	-2.782396e-02	1.136007e-01
2.947439211078162e-02	-2.795823e-02	1.138976e-01
2.954755520276464e-02	-2.809050e-02	1.141902e-01
2.963361892068761e-02	-2.824594e-02	1.145345e-01
2.970771746700152e-02	-2.837954e-02	1.148309e-01
2.978094068160075e-02	-2.851129e-02	1.151238e-01
2.988123723227787e-02	-2.869144e-02	1.155249e-01
2.995900357006676e-02	-2.883099e-02	1.158360e-01
3.003605967460032e-02	-2.896917e-02	1.161442e-01
3.012243620300481e-02	-2.912389e-02	1.164897e-01
3.019685374114189e-02	-2.925697e-02	1.167874e-01
3.027019407014109e-02	-2.938784e-02	1.170808e-01
3.035598866821942e-02	-2.954068e-02	1.174240e-01
3.043014974055325e-02	-2.967268e-02	1.177206e-01
3.050341936041789e-02	-2.980301e-02	1.180137e-01
3.059362909449348e-02	-2.996332e-02	1.183745e-01
3.066908270499979e-02	-3.009717e-02	1.186763e-01
3.074366617746094e-02	-3.022919e-02	1.189747e-01
3.084266353296172e-02	-3.040412e-02	1.193707e-01
3.092037563994765e-02	-3.054130e-02	1.196815e-01
3.099725889398997e-02	-3.067692e-02	1.199890e-01
3.108396585172102e-02	-3.082971e-02	1.203359e-01
3.115865132809503e-02	-3.096108e-02	1.206346e-01
3.123225772286986e-02	-3.109027e-02	1.209290e-01
3.131834744478823e-02	-3.124112e-02	1.212734e-01
3.139277931768092e-02	-3.137143e-02	1.215711e-01
3.146629757210917e-02	-3.150005e-02	1.218652e-01
3.155618934399484e-02	-3.165716e-02	1.222248e-01
3.163173799579866e-02	-3.178896e-02	1.225270e-01
3.170638957381300e-02	-3.191891e-02	1.228256e-01
3.180658675793779e-02	-3.209302e-02	1.232263e-01
3.188477205559792e-02	-3.222875e-02	1.235391e-01
3.196214513003426e-02	-3.236296e-02	1.238486e-01
3.204796585856329e-02	-3.251166e-02	1.241919e-01
3.212264030665679e-02	-3.264081e-02	1.244906e-01
3.219620918353172e-02	-3.276778e-02	1.247848e-01
3.228129251382583e-02	-3.291436e-02	1.251252e-01
3.235563011412879e-02	-3.304232e-02	1.254225e-01
3.242904681157199e-02	-3.316861e-02	1.257162e-01
3.251829116508631e-02	-3.332196e-02	1.260732e-01
3.259383691580098e-02	-3.345154e-02	1.263753e-01
3.266847853517518e-02	-3.357928e-02	1.266739e-01
3.276941712173098e-02	-3.375171e-02	1.270777e-01
3.284797997934774e-02	-3.388578e-02	1.273919e-01
3.292573870263382e-02	-3.401838e-02	1.277030e-01
3.301127555711147e-02	-3.416407e-02	1.280451e-01
3.308609874093094e-02	-3.429127e-02	1.283444e-01
3.315979509879341e-02	-3.441628e-02	1.286392e-01
3.324432530475008e-02	-3.455942e-02	1.289773e-01
3.331870387492586e-02	-3.468526e-02	1.292748e-01
