in s,C1 in V,C2 in V
-8.1576E+00,2.45605E+00,6.22559E+00
-8.1558E+00,2.42676E+00,6.17676E+00
-8.1540E+00,2.43652E+00,6.27441E+00
-8.1522E+00,2.41699E+00,6.27441E+00
-8.1504E+00,2.44629E+00,6.27441E+00
-8.1486E+00,2.43652E+00,6.32324E+00
-8.1468E+00,2.42676E+00,6.37207E+00
-8.1450E+00,2.43652E+00,6.37207E+00
-8.1432E+00,2.43652E+00,6.42090E+00
-8.1414E+00,2.44629E+00,6.37207E+00
-8.1396E+00,2.45605E+00,6.32324E+00
-8.1378E+00,2.44629E+00,6.27441E+00
-8.1360E+00,2.43652E+00,6.42090E+00
-8.1342E+00,2.42676E+00,6.37207E+00
-8.1324E+00,2.40723E+00,6.42090E+00
-8.1306E+00,2.44629E+00,6.42090E+00
-8.1288E+00,2.40723E+00,6.46973E+00
-8.1270E+00,2.40723E+00,6.27441E+00
-8.1252E+00,2.40723E+00,6.51855E+00
-8.1234E+00,2.39746E+00,6.56738E+00
-8.1216E+00,2.41699E+00,6.51855E+00
-8.1198E+00,2.40723E+00,6.42090E+00
-8.1180E+00,2.39746E+00,6.61621E+00
-8.1162E+00,2.41699E+00,6.56738E+00
-8.1144E+00,2.40723E+00,6.37207E+00
-8.1126E+00,2.40723E+00,6.56738E+00
-8.1108E+00,2.39746E+00,6.51855E+00
-8.1090E+00,2.41699E+00,6.76270E+00
-8.1072E+00,2.36816E+00,6.61621E+00
-8.1054E+00,2.38770E+00,6.51855E+00
-8.1036E+00,2.41699E+00,6.61621E+00
-8.1018E+00,2.37793E+00,6.56738E+00
-8.1000E+00,2.39746E+00,6.51855E+00
-8.0982E+00,2.38770E+00,6.76270E+00
-8.0964E+00,2.37793E+00,6.61621E+00
-8.0946E+00,2.36816E+00,6.76270E+00
-8.0928E+00,2.37793E+00,6.71387E+00
-8.0910E+00,2.37793E+00,6.86035E+00
-8.0892E+00,2.36816E+00,6.61621E+00
-8.0874E+00,2.35840E+00,6.51855E+00
-8.0856E+00,2.33887E+00,6.81152E+00
-8.0838E+00,2.34863E+00,6.66504E+00
-8.0820E+00,2.35840E+00,6.81152E+00
-8.0802E+00,2.33887E+00,6.61621E+00
-8.0784E+00,2.32910E+00,6.66504E+00
-8.0766E+00,2.31934E+00,6.71387E+00
-8.0748E+00,2.33887E+00,6.76270E+00
-8.0730E+00,2.32910E+00,6.76270E+00
-8.0712E+00,2.29980E+00,6.66504E+00
-8.0694E+00,2.30957E+00,6.71387E+00
-8.0676E+00,2.29980E+00,6.81152E+00
-8.0658E+00,2.31934E+00,6.71387E+00
-8.0640E+00,2.31934E+00,6.66504E+00
-8.0622E+00,2.29004E+00,6.71387E+00
-8.0604E+00,2.30957E+00,6.76270E+00
-8.0586E+00,2.29980E+00,6.76270E+00
-8.0568E+00,2.29004E+00,6.71387E+00
-8.0550E+00,2.30957E+00,6.76270E+00
-8.0532E+00,2.27051E+00,6.81152E+00
-8.0514E+00,2.27051E+00,6.76270E+00
-8.0496E+00,2.24121E+00,6.81152E+00
-8.0478E+00,2.28027E+00,6.76270E+00
-8.0460E+00,2.25098E+00,6.66504E+00
-8.0442E+00,2.25098E+00,6.76270E+00
-8.0424E+00,2.24121E+00,6.66504E+00
-8.0406E+00,2.24121E+00,6.81152E+00
-8.0388E+00,2.27051E+00,6.81152E+00
-8.0370E+00,2.23145E+00,6.76270E+00
-8.0352E+00,2.22168E+00,6.76270E+00
-8.0334E+00,2.23145E+00,6.71387E+00
-8.0316E+00,2.22168E+00,6.76270E+00
